Vietnam,English
tôi,I
không,Are not
là,To be
anh,Older brother
có,Have
ta,I
của,belong to
đi,Go
đã,Satisfied
đó,there
sẽ,will
chúng,they
gì,What
một,one
được,Okay
và,and
cô,Miss
làm,do
phải,Right
rồi,Already
người,People
này,This
cho,give
em,You
đây,This
con,child
sao,Star
biết,know
ông,grandfather
nói,speak
nó,It
thể,body
với,with
cậu,uncle
thế,position
lại,again
ra,go out
vậy,So
để,to
nào,any
ấy,that
cái,female
đang,in progress
muốn,want
trong,in
mà,but
như,like
nhưng,But
khi,When
những,but
đến,arrive
đâu,where
chuyện,story
chỉ,only
cả,chief
về,about
thì,then
họ,Surname
giờ,hour
thôi,Stop
thấy,see
còn,still
cũng,also
vào,enter
các,the
bị,bag
nghĩ,think
đấy,there
ai,Who
thật,Real
hắn,He
nếu,If
mình,me
việc,job
nữa,again
rất,very
vì,because
cần,need
chứ,But
à,Ah
điều,thing
sự,consistency
tới,next
xin,Ask for
thứ,rank
chưa,Not yet
nhà,home
lên,go up
đúng,correct
từ,from
mẹ,Mom
nghe,listen
hơn,than
mọi,all
bạn,Friend
tớ,ME
nên,should
chết,die
mày,you
ơn,grate